│ 2026-03-28 12:14:06.60  │ 51.553440 │ -0.155699 │ 39.5 │   0.29 │   0.47 │ 683.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      12 │     102 │     202 │       0 │     202 │    6847 │     184 │       0 │      12 │     184 │
│ 2026-03-28 12:14:06.80  │ 51.553439 │ -0.155698 │ 39.5 │   0.25 │   0.40 │ 683.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      27 │      17 │     417 │       0 │     417 │    7062 │     194 │       0 │      17 │     194 │
│ 2026-03-28 12:14:06.90  │ 51.553438 │ -0.155698 │ 39.2 │   0.25 │   0.41 │ 684.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      43 │      33 │     633 │       0 │     633 │    7278 │     205 │       0 │      33 │     205 │
│ 2026-03-28 12:14:07.10  │ 51.553438 │ -0.155698 │ 39.2 │   0.28 │   0.45 │ 684.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     198 │      88 │     788 │       0 │     788 │    7433 │     155 │       0 │      88 │     155 │
│ 2026-03-28 12:14:07.20  │ 51.553438 │ -0.155698 │ 39.2 │   0.34 │   0.55 │ 684.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │       1 │      86 │     992 │       0 │     992 │    7637 │     154 │       0 │       1 │     154 │
│ 2026-03-28 12:14:07.40  │ 51.553438 │ -0.155699 │ 39.2 │   0.38 │   0.60 │ 684.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      17 │       2 │     202 │       0 │     202 │    7852 │     164 │       0 │       2 │     164 │
GPS Status: 2330 messages decoded, Rate: 17.5 sentences/sec, Location valid: YES, Time valid: YES, Satellites: 6, HDOP: 684
ESP-NOW: IN=1136 total (15.6/sec), OUT=217 total (4.9/sec)
Message Timing (ms since last receipt):
  Dash Status (0x333): 24
  RPM+Wheels (0x280): 9
  Coolant (0x288): 409
  Buttons (0x666): Never
  Config Data (0x888): 409
